Model: pyannote/speaker-diarization-3.1
Dataset: msdwild
NOTE: Run stopped early — time limit of 0.8h reached.
      Only 413 file(s) were processed.
Total elapsed: 00:45:09
============================================================

PER FILE:
File                            Dur(s)     DER     JER    Miss      FA    Conf
---------------------------------------------------------------------------
00001                             24.3   0.127   0.444   0.066   0.014   0.047
00002                             65.7   0.115   0.147   0.048   0.052   0.015
00003                             62.5   0.152   0.148   0.059   0.077   0.017
00004                             27.5   0.578   0.798   0.228   0.068   0.282
00005                             25.6   0.035   0.051   0.013   0.018   0.003
00006                            408.4   0.084   0.389   0.056   0.026   0.002
00007                            170.4   0.154   0.190   0.062   0.052   0.039
00008                             30.3   0.955   0.862   0.615   0.227   0.113
00009                             43.5   0.264   0.588   0.080   0.020   0.164
00010                             98.3   0.258   0.481   0.049   0.082   0.127
00011                             39.7   0.219   0.300   0.135   0.056   0.027
00012                           1197.9   0.074   0.079   0.033   0.035   0.006
00013                             59.8   0.350   0.507   0.109   0.029   0.212
00014                            254.8   0.068   0.375   0.027   0.027   0.014
00015                             20.5   0.207   0.197   0.110   0.096   0.000
00016                             38.7   0.285   0.289   0.017   0.077   0.190
00017                             45.5   0.324   0.689   0.023   0.168   0.132
00018                            414.5   0.275   0.561   0.091   0.065   0.119
00019                             33.3   0.102   0.103   0.095   0.005   0.002
00020                            283.5   0.060   0.528   0.029   0.026   0.005
00021                             97.5   0.356   0.710   0.126   0.052   0.178
00022                            140.1   0.106   0.394   0.042   0.006   0.058
00023                             33.0   0.229   0.288   0.114   0.029   0.085
00024                             68.4   0.553   0.652   0.272   0.031   0.250
00025                             22.0   0.788   0.819   0.729   0.016   0.042
00026                             24.8   0.216   0.400   0.018   0.086   0.112
00027                             40.4   0.615   0.565   0.104   0.139   0.371
00028                             38.3   0.905   0.799   0.403   0.148   0.354
00029                            376.6   0.071   0.072   0.036   0.032   0.003
00030                             77.5   0.013   0.016   0.004   0.008   0.001
00031                             27.7   0.343   0.297   0.080   0.070   0.193
00032                             28.2   0.245   0.363   0.044   0.064   0.137
00033                             32.2   0.691   0.652   0.146   0.108   0.438
00034                           1817.5   0.486   0.653   0.064   0.094   0.329
00035                             69.2   0.417   0.649   0.198   0.019   0.200
00036                             71.8   0.072   0.131   0.032   0.040   0.000
00037                             65.4   0.270   0.403   0.053   0.043   0.173
00038                             20.7   0.181   0.248   0.088   0.049   0.043
00039                             55.5   0.821   0.760   0.255   0.200   0.366
00040                             31.0   0.199   0.562   0.109   0.015   0.074
00041                             33.0   0.223   0.320   0.058   0.049   0.116
00042                            130.1   0.148   0.586   0.022   0.019   0.107
